,Unnamed: 0,title,points,countries,percountries,days,perdays,total,genre,provocative
0,0,Red Notice,25918,90,288,48,540,25918,"['Action', 'Treasure hunt']",0
1,1,We Can Be Heroes,25311,82,309,214,118,25311,"['Adventure', 'Family']",0
2,2,Army of the Dead,18888,89,212,92,205,18888,"['Action', 'Zombies']",1
3,3,Wish Dragon,16953,82,207,88,193,16953,"['Animated', 'Family']",0
4,4,Army of Thieves,15081,90,168,52,290,15081,"['Action', 'Heist']",1
5,5,The Mitchells vs. The Machines,14902,82,182,74,201,14902,"['Animated', 'Family']",0
6,6,Fatherhood,14660,82,179,54,271,14660,"['Comedy', 'Dramedy']",0
7,7,The Unforgivable,13458,89,151,20,673,13458,"['Drama', 'Prison']",1
8,8,The Guilty,12930,83,156,43,301,12930,"['Crime', 'Disapperance']",1
9,9,Yes Day,12809,81,158,66,194,12809,"['Comedy', 'Family']",0
10,10,Love Hard,11782,90,131,50,236,11782,"['Comedy', 'Christmas']",0
11,11,Outside the Wire,11661,82,142,45,259,11661,"['Science Fiction', 'Future']",0
12,12,Love and Monsters,11582,81,143,33,351,11582,"['Adventure', 'monster']",0
13,13,Kate,11224,83,135,50,224,11224,"['Action', 'Revenge']",1
14,14,Vivo,11037,79,140,58,190,11037,"['Animated', 'Family']",0
15,15,Minions,10972,78,141,132,83,10972,"['Animated', 'For babies']",0
16,16,Back to the Outback,10555,88,120,20,528,10555,"['Animated', 'For Older Kids']",0
17,17,He's All That,10222,83,123,35,292,10222,"['Comedy', 'Rom Com']",0
18,18,Sweet Girl,10051,82,123,32,314,10051,"['Action', 'Revenge']",1
19,19,Blood Red Sky,9757,82,119,31,315,9757,"['Thriller', 'Vampires']",1
20,20,Major Grom: Plague Doctor,9642,80,121,98,98,9642,"['Action', 'Crime']",1
21,21,My Little Pony: A New Generation,9615,81,119,41,235,9615,"['Animated', 'For Girls']",0
22,22,The Forgotten Battle,9321,83,112,24,388,9321,"['War', 'World War II']",1
23,23,The Kissing Booth 3,9219,82,112,28,329,9219,"['Comedy', 'Rom Com']",0
24,24,To All the Boys: Always and Forever,9058,83,109,24,377,9058,"['Romance', 'Rom Com']",0
25,25,Fast & Furious Presents: Hobbs & Shaw,8994,73,123,257,35,8994,"['Action', 'Buddies']",0
26,26,Thunder Force,8842,82,108,35,253,8842,"['Comedy', 'Buddies']",0
27,27,I Care a Lot,8610,54,159,41,210,8610,"['Thriller', 'Lawyers']",1
28,28,The Woman in the Window,8547,82,104,33,259,8547,"['Thriller', 'Mystery']",1
29,29,365 Days,8488,60,141,313,27,8488,"['Romance', 'sex']",1
30,30,The Harder They Fall,8433,89,95,28,301,8433,"['Western', 'Revenge']",1
